Education,Age,Genre,Origine,Domestication,VaccinationDesAnimaux,MorsureDeChien,Deces,PropagationParLesChiens,Transmission,VaccinationPreventive,Campagne,VaccinationPersonnelle,ConnaissanceAvantLaVaccination,ConnaissanceApresLaVaccination,Signes,Enrage,Medecin,FamilierAtteint,Installations,VaccinationAbordable,PreferencePourLaVaccination,ID_Repondant
F,1,1,2,1,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,1,1,Respondent192
F,1,1,2,2,2,1,1,1,1,1,2,2,1,2,2,2,2,2,2,1,1,Respondent193
F,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,Respondent194
F,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,Respondent195
F,1,1,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,1,2,1,1,Respondent196
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,Respondent197
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,2,2,1,Respondent198
F,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,2,1,Respondent199
F,1,1,2,1,2,1,1,1,2,2,2,2,2,1,1,2,1,1,2,2,1,Respondent200
F,1,1,2,2,2,1,1,1,1,1,2,2,1,1,2,1,2,2,2,2,1,Respondent201
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,2,2,1,Respondent202
F,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,2,1,2,1,1,Respondent203
F,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,2,1,Respondent204
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,2,2,2,2,2,1,Respondent205
F,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,2,2,1,1,Respondent206
F,1,1,1,1,2,1,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,Respondent207
F,1,1,2,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,Respondent208
F,1,1,2,1,2,1,2,1,1,1,2,2,1,1,2,1,2,1,2,1,1,Respondent209
F,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,Respondent210
F,1,1,2,2,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,Respondent211
A,1,1,1,1,2,1,1,1,1,1,2,1,2,1,2,2,2,1,1,2,2,Respondent212
A,1,1,1,1,2,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,1,Respondent213
A,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,Respondent214
A,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,1,1,2,2,2,1,Respondent215
A,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,1,1,2,1,1,Respondent216
A,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,Respondent217
A,1,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,1,1,2,1,Respondent218
A,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,Respondent219
A,1,1,1,1,2,1,2,1,2,1,1,2,2,2,1,2,1,1,1,2,2,Respondent220
A,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,1,2,1,1,1,2,Respondent221
A,1,1,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,2,1,2,1,Respondent222
A,1,1,1,1,2,1,2,1,2,2,1,1,1,2,1,2,2,1,1,2,1,Respondent223
A,1,1,1,1,2,1,2,1,2,2,2,1,2,1,2,1,2,2,1,2,1,Respondent224
A,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,2,1,2,1,2,Respondent225
A,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,Respondent226
A,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,Respondent227
A,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,Respondent228
A,1,1,1,1,2,1,1,1,2,1,2,2,2,2,1,1,1,2,2,2,2,Respondent229
A,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,Respondent230
A,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,Respondent231
A,1,1,1,1,2,1,2,1,1,1,2,2,1,2,1,1,2,2,2,1,1,Respondent232
A,1,1,1,2,2,1,1,1,1,1,2,2,1,1,2,1,1,2,2,2,1,Respondent233
A,1,1,1,1,2,1,2,1,2,2,2,1,2,2,2,1,1,1,1,1,1,Respondent234
A,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,1,1,Respondent235
A,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,2,1,1,2,1,1,Respondent236
A,1,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,2,1,2,1,2,Respondent237
A,1,1,1,1,2,1,2,2,1,2,1,2,1,1,2,2,1,1,2,2,1,Respondent238
A,1,1,1,1,2,1,1,1,2,2,1,1,2,1,1,1,2,1,2,1,2,Respondent239
A,1,1,1,1,2,1,1,2,1,1,2,1,2,1,2,1,1,2,1,2,1,Respondent240
A,1,1,1,1,1,1,2,1,1,2,2,1,1,1,2,1,1,2,2,1,1,Respondent241
A,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,2,1,2,1,Respondent242
C,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,1,Respondent243
C,1,1,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,2,2,1,1,Respondent244
C,1,1,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,1,2,2,1,Respondent245
C,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,Respondent246
C,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,Respondent247
C,1,1,1,1,2,1,2,1,1,1,2,1,2,2,1,1,1,1,1,1,1,Respondent248
C,1,1,1,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,Respondent249
C,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,1,2,1,1,Respondent250
C,1,1,1,1,2,1,2,1,1,1,2,2,2,1,2,1,2,1,2,1,1,Respondent251
C,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,1,Respondent252
C,1,1,2,1,2,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,Respondent253
C,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,Respondent254
C,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,2,2,1,1,Respondent255
C,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,Respondent256
C,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,2,2,2,1,1,Respondent257
C,1,1,1,1,2,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,Respondent258
C,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,Respondent259
C,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,1,1,Respondent260
C,1,1,1,1,2,1,2,1,1,1,2,2,2,1,1,2,2,1,2,2,1,Respondent261
C,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,1,2,Respondent262
